Position	Standard_Deviation	Average_Number_Peaks	Count
2:42499176-42499276	0.622699849077	4.57142857143	14
2:48032699-48032799	0.5	3.5	14
2:111886138-111886238	0.451753951453	4.71428571429	14
3:30691827-30691927	0.610285981808	2.35714285714	14
10:32316502-32316602	0.47915742375	4.64285714286	14
11:118352999-118353099	0.257539376819	3.92857142857	14
12:58141964-58142064	0.257539376819	3.07142857143	14
13:28942800-28942900	0.589015089374	4.71428571429	14
16:9934632-9934732	0.96097314622	5.07142857143	14
22:24135930-24136030	0.457366016959	4.92857142857	14
X:44935836-44935936	0.610285981808	4.35714285714	14
